academic_year,sending_institution,receiving_institution,major,group,section,category,receiving_type,receiving_requirement,sending_courses,sending_course_options,fulfillment_options,no_articulation_reason,denied_courses,template_cell_id
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 102 - Intro to Archaeology,ANTH 6 - Introduction to Archaeology and Prehistory,['ANTH 6 - Introduction to Archaeology and Prehistory'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ANTH 6 - Introduction to Archaeology and Prehistory']}], 'courses': ['ANTH 6 - Introduction to Archaeology and Prehistory'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 110 - Academic Writing in Social Science,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 111 - United States History to 1890,HIST 17 - United States History to 1877,['HIST 17 - United States History to 1877'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 17 - United States History to 1877']}], 'courses': ['HIST 17 - United States History to 1877'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,"SSCI 114 - Women & Social Change in the US, 1890-Present",HIST 12 - Women in United States History,['HIST 12 - Women in United States History'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 12 - Women in United States History']}], 'courses': ['HIST 12 - Women in United States History'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 211 - Principles American Democracy,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,"SSCI 212S - Citizen Action, Comm Power, Pol Change",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 249 - Native American Societies,ETNC 20 - Introduction to Native American Studies,['ETNC 20 - Introduction to Native American Studies'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ETNC 20 - Introduction to Native American Studies']}], 'courses': ['ETNC 20 - Introduction to Native American Studies'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 252 - World Regional Geography,(GEOG 4 - Introduction to Human Geography) OR (GEOG 5 - World Regional Geography),"['GEOG 4 - Introduction to Human Geography', 'GEOG 5 - World Regional Geography']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['GEOG 4 - Introduction to Human Geography']}], 'courses': ['GEOG 4 - Introduction to Human Geography'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['GEOG 5 - World Regional Geography']}], 'courses': ['GEOG 5 - World Regional Geography'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",STAT Statistics,,,STAT Statistics,Course,STAT 100 - Introduction to Statistics,((STAT C1000 - Introduction to Statistics) OR (PSYC 19 - Introduction to Statistics for the Social Sciences)) OR (SOCI 19 - Introduction to Statistics for the Social Sciences),"['STAT C1000 - Introduction to Statistics', 'PSYC 19 - Introduction to Statistics for the Social Sciences', 'SOCI 19 - Introduction to Statistics for the Social Sciences']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['STAT C1000 - Introduction to Statistics']}], 'courses': ['STAT C1000 - Introduction to Statistics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",STAT Statistics,,,STAT Statistics,Course,STAT 210 - Statistical Computing with R,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",STAT Statistics,,,STAT Statistics,Course,STAT 211 - Statistical Computing with SAS,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",STAT Statistics,,,STAT Statistics,Course,STAT 250 - Applied Statistics: Science Technology,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SW Social Work,,,SW Social Work,Course,SW 205 - Introduction to Social Work,HUMS 50 - Intro to Human Services and Social Work,['HUMS 50 - Intro to Human Services and Social Work'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HUMS 50 - Intro to Human Services and Social Work']}], 'courses': ['HUMS 50 - Intro to Human Services and Social Work'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 203 - Introduction to Sculpture,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 205 - Introduction to Art Appreciation,(ARTH 1 - Understanding Art) OR (ARTH 4 - Western Art II),"['ARTH 1 - Understanding Art', 'ARTH 4 - Western Art II']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTH 1 - Understanding Art']}], 'courses': ['ARTH 1 - Understanding Art'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTH 4 - Western Art II']}], 'courses': ['ARTH 4 - Western Art II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 206 - Street Art Excavations,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 208 - Power of Image,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 209 - Day of the Dead Workshop,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 210 - The Artist and Society,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 215 - Beginning Drawing,ARTS 10A - Drawing and Composition I,['ARTS 10A - Drawing and Composition I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 10A - Drawing and Composition I']}], 'courses': ['ARTS 10A - Drawing and Composition I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 217 - Color Theory,ARTB 4 - Color Fundamentals,['ARTB 4 - Color Fundamentals'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTB 4 - Color Fundamentals']}], 'courses': ['ARTB 4 - Color Fundamentals'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 218 - Intro to Painting,ARTS 40A - Painting I,['ARTS 40A - Painting I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 40A - Painting I']}], 'courses': ['ARTS 40A - Painting I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 229 - Fabrika Screenprinting Lab I,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 285 - Introduction to Photojournalism,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",VPA Visual and Public Arts,,,VPA Visual and Public Arts,Course,VPA 290 - Introduction to Printmaking,ARTS 60 - Introduction to Printmaking,['ARTS 60 - Introduction to Printmaking'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 60 - Introduction to Printmaking']}], 'courses': ['ARTS 60 - Introduction to Printmaking'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",WLC World Languages and Cultures,,,WLC World Languages and Cultures,Course,WLC 201 - Intermediate World Languages,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",WLC World Languages and Cultures,,,WLC World Languages and Cultures,Course,WLC 212 - Language for Heritage Speakers,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",WLC World Languages and Cultures,,,WLC World Languages and Cultures,Course,WLC 230 - Academic Life in the U.S.,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",WLC World Languages and Cultures,,,WLC World Languages and Cultures,Course,WLC 250 - Academic English Reading & Writing,,[],[],,[],
